Order_ID,Customer_ID,Product_ID,Order_Date,Shipping_Date,Sales,Quantity,Discount,Profit,Unit_Price
27,292,1191,27/08/2019,16/09/2019,55.6000,4,0.00,16.1240,13.9000
28,326,1496,02/08/2019,08/08/2019,15.9360,4,0.20,5.1792,3.7840
29,671,325,09/02/2019,12/02/2019,11.1200,4,0.00,2.8912,2.7800
30,520,1557,03/10/2019,07/10/2019,21.3600,8,0.00,8.1168,2.6700
31,683,1732,22/05/2019,30/05/2019,10.7100,3,0.00,2.7846,3.5700
32,589,859,02/03/2019,17/03/2019,15.6600,5,0.70,-12.5280,2.4320
33,628,578,02/12/2019,18/12/2019,831.2000,5,0.00,124.6800,166.2400
34,301,699,09/10/2019,06/11/2019,34.9200,4,0.00,11.8728,8.7300
35,273,491,10/10/2019,29/10/2019,25.9200,4,0.00,12.4416,6.4800
36,89,986,08/01/2019,05/02/2019,149.9500,5,0.00,44.9850,29.9900
37,648,92,20/06/2019,23/06/2019,13.1840,1,0.20,4.7792,12.9840
38,108,7,02/06/2019,06/06/2019,4.3680,3,0.20,0.3822,1.2560
39,258,332,02/12/2019,01/01/2020,159.9900,1,0.00,54.3966,159.9900
40,149,1427,21/06/2019,18/07/2019,146.8200,3,0.00,73.4100,48.9400
41,575,1125,07/03/2019,17/03/2019,23.9760,4,0.40,-15.5844,5.5940
42,597,695,13/11/2019,12/12/2019,38.4320,1,0.20,13.4512,38.2320
43,547,248,14/03/2019,06/04/2019,89.9700,3,0.00,39.5868,29.9900
44,72,1728,09/09/2019,06/10/2019,1649.9500,5,0.00,659.9800,329.9900
45,170,1752,19/02/2019,26/02/2019,220.7040,6,0.20,-8.2764,36.5840
46,179,866,23/03/2019,25/03/2019,80.9800,1,0.00,1.6196,80.9800
47,639,891,06/09/2019,06/10/2019,16.2300,3,0.00,7.9527,5.4100
48,502,3,13/05/2019,26/05/2019,17.5440,3,0.20,5.9211,5.6480
49,428,399,06/02/2019,14/02/2019,47.6160,3,0.20,3.5712,15.6720
50,20,1730,25/06/2019,24/07/2019,355.3600,4,0.00,92.3936,88.8400
51,7,1403,03/11/2019,25/11/2019,288.2400,6,0.00,138.3552,48.0400
52,387,684,10/03/2019,30/03/2019,37.5200,5,0.20,3.7520,7.3040
53,352,165,20/07/2019,08/08/2019,182.2200,3,0.00,45.5550,60.7400
54,255,206,19/07/2019,13/08/2019,4.7300,1,0.00,2.3177,4.7300
55,276,1098,28/09/2019,07/10/2019,3.5520,2,0.20,0.4440,1.5760
56,682,248,03/02/2019,04/02/2019,95.9680,4,0.20,28.7904,23.7920
57,793,223,02/11/2019,05/11/2019,19.1040,3,0.20,5.7312,6.1680
58,717,261,20/10/2019,03/11/2019,19.4400,3,0.00,9.3312,6.4800
59,121,819,07/09/2019,22/09/2019,34.0800,2,0.00,15.6768,17.0400
60,534,817,13/03/2019,02/04/2019,11.5600,2,0.00,5.6644,5.7800
61,17,921,07/08/2019,14/08/2019,61.9600,4,0.50,-53.2856,14.9900
62,2,700,21/11/2019,26/11/2019,3.4860,2,0.70,-2.7888,1.0430
63,203,432,19/07/2019,22/07/2019,279.9600,5,0.20,17.4975,55.7920
64,623,199,02/03/2019,30/03/2019,41.6000,4,0.20,13.0000,10.2000
65,724,727,06/09/2019,03/10/2019,15.2400,3,0.00,7.1628,5.0800
66,742,93,12/01/2019,29/01/2019,37.8800,2,0.00,18.9400,18.9400
67,288,579,01/11/2019,08/11/2019,10.6880,2,0.20,3.7408,5.1440
68,595,1119,24/07/2019,11/08/2019,139.9500,5,0.00,26.5905,27.9900
69,705,1293,20/01/2019,23/01/2019,15.5520,3,0.20,5.4432,4.9840
70,784,1138,15/11/2019,02/12/2019,575.9680,4,0.20,43.1976,143.7920
71,787,1123,14/09/2019,10/10/2019,53.9520,3,0.20,17.5344,17.7840
72,494,360,10/06/2019,19/06/2019,19.5360,3,0.20,4.8840,6.3120
73,154,1032,24/07/2019,26/07/2019,10.0800,4,0.20,3.5280,2.3200
74,563,1023,12/04/2019,24/04/2019,21.4880,2,0.20,1.6116,10.5440
75,532,34,01/02/2019,06/02/2019,56.7840,7,0.20,20.5842,7.9120
76,688,82,20/01/2019,28/01/2019,200.9840,7,0.20,62.8075,28.5120
77,296,786,24/11/2019,20/12/2019,10.2720,3,0.20,1.1556,3.2240
78,395,1789,22/04/2019,10/05/2019,31.1040,6,0.20,10.8864,4.9840
79,193,692,27/04/2019,30/04/2019,44.9100,6,0.70,-35.9280,6.7850
80,283,494,02/01/2019,13/01/2019,21.8800,5,0.20,6.2905,4.1760
81,517,476,27/09/2019,08/10/2019,354.9000,5,0.00,88.7250,70.9800
82,154,1281,31/08/2019,19/09/2019,376.5090,3,0.30,-43.0296,125.2030
83,788,94,08/09/2019,15/09/2019,124.1100,9,0.00,52.1262,13.7900
84,580,1026,04/03/2019,10/03/2019,2.3340,3,0.80,-6.3018,-0.0220
85,793,61,12/01/2019,05/02/2019,27.9600,5,0.20,8.3880,5.3920
86,572,829,15/05/2019,24/05/2019,119.8330,1,0.15,-12.6882,119.6830
87,358,227,27/06/2019,28/06/2019,66.6880,1,0.20,4.1680,66.4880
88,375,1032,11/09/2019,08/10/2019,18.9000,6,0.00,9.0720,3.1500
89,548,768,16/02/2019,20/02/2019,67.3440,6,0.20,7.5762,11.0240
90,613,279,28/08/2019,11/09/2019,26.8000,2,0.00,12.8640,13.4000
91,578,1086,10/10/2019,11/10/2019,12.5300,1,0.00,5.8891,12.5300
92,765,380,12/01/2019,01/02/2019,42.6000,3,0.00,16.6140,14.2000
93,199,1525,13/04/2019,14/04/2019,32.8960,4,0.20,11.1024,8.0240
94,66,1681,07/05/2019,21/05/2019,97.9800,2,0.00,27.4344,48.9900
95,307,569,11/03/2019,31/03/2019,343.8500,5,0.00,137.5400,68.7700
96,335,1186,04/10/2019,28/10/2019,666.4000,7,0.20,-33.3200,95.0000
97,258,685,10/09/2019,11/09/2019,18.4800,2,0.20,6.0060,9.0400
98,225,555,25/11/2019,01/12/2019,11.0600,10,0.80,-18.8020,0.3060
99,435,418,09/02/2019,06/03/2019,110.9600,2,0.00,53.2608,55.4800
100,766,34,19/05/2019,23/05/2019,14.9400,3,0.00,7.0218,4.9800
101,768,1792,31/08/2019,23/09/2019,127.9360,8,0.20,4.7976,15.7920
102,65,154,29/11/2019,06/12/2019,31.1200,4,0.00,14.6264,7.7800
103,44,989,29/05/2019,26/06/2019,2.0250,1,0.70,-1.3500,1.3250
104,548,456,02/11/2019,29/11/2019,21.1680,9,0.20,2.3814,2.1520
105,762,618,14/05/2019,21/05/2019,9.9120,3,0.20,3.2214,3.1040
106,242,784,23/05/2019,14/06/2019,129.9300,3,0.00,12.9930,43.3100
107,659,53,05/03/2019,13/03/2019,8.7200,4,0.00,3.5752,2.1800
108,393,1317,11/03/2019,22/03/2019,11.9600,2,0.00,5.8604,5.9800
109,204,887,19/12/2019,09/01/2020,19.7600,2,0.20,5.9280,9.6800
110,518,805,14/09/2019,25/09/2019,6.4800,4,0.70,-4.7520,0.9200
111,153,1601,25/01/2019,12/02/2019,5.2480,2,0.20,0.5904,2.4240
112,628,908,03/01/2019,24/01/2019,107.9400,3,0.00,26.9850,35.9800
113,72,9,27/01/2019,30/01/2019,30.8400,4,0.00,13.8780,7.7100
114,96,264,02/09/2019,15/09/2019,17.0500,5,0.00,8.1840,3.4100
115,641,526,03/07/2019,04/07/2019,1.8240,1,0.70,-1.3984,1.1240
116,581,1753,23/05/2019,12/06/2019,57.5680,4,0.20,5.7568,14.1920
117,141,155,18/10/2019,01/11/2019,55.3600,4,0.20,19.3760,13.6400
118,183,1239,15/02/2019,08/03/2019,26.2000,4,0.00,12.0520,6.5500
119,406,77,18/10/2019,01/11/2019,19.3000,2,0.00,5.7900,9.6500
120,613,1379,01/01/2019,11/01/2019,4.9280,2,0.20,0.7392,2.2640
121,684,247,15/07/2019,12/08/2019,1633.1400,9,0.00,473.6106,181.4600
122,348,479,18/11/2019,05/12/2019,254.2400,7,0.00,76.2720,36.3200
123,327,27,29/09/2019,04/10/2019,2396.2656,4,0.32,-317.1528,598.7464
124,476,647,02/08/2019,08/08/2019,71.9600,5,0.20,7.1960,14.1920
125,456,370,10/12/2019,05/01/2020,19.9800,1,0.00,9.3906,19.9800
126,194,1031,28/11/2019,03/12/2019,31.7440,2,0.20,3.9680,15.6720
127,703,851,28/08/2019,16/09/2019,362.9400,3,0.00,90.7350,120.9800
128,630,555,17/02/2019,20/02/2019,11.0600,10,0.80,-18.8020,0.3060
129,289,70,06/08/2019,20/08/2019,5.0800,1,0.20,1.6510,4.8800
130,265,412,21/12/2019,26/12/2019,1272.6300,6,0.50,-814.4832,211.6050
131,623,519,17/07/2019,27/07/2019,1606.2300,9,0.00,481.8690,178.4700
132,630,1008,17/03/2019,23/03/2019,179.9400,6,0.00,75.5748,29.9900
133,364,713,01/06/2019,13/06/2019,257.4990,3,0.15,24.2352,85.6830
134,399,90,03/11/2019,07/11/2019,15.5520,3,0.20,5.4432,4.9840
135,391,427,22/08/2019,19/09/2019,338.0400,3,0.20,-33.8040,112.4800
136,387,571,18/05/2019,31/05/2019,14.3520,3,0.20,4.6644,4.5840
137,162,871,26/05/2019,14/06/2019,599.9000,10,0.00,191.9680,59.9900
138,292,796,27/08/2019,01/09/2019,162.6000,3,0.00,34.1460,54.2000
139,609,992,14/08/2019,06/09/2019,121.6000,5,0.20,39.5200,24.1200
140,290,986,11/12/2019,28/12/2019,59.9800,2,0.00,17.9940,29.9900
141,511,1228,07/10/2019,30/10/2019,1856.1900,7,0.00,334.1142,265.1700
142,564,813,01/02/2019,25/02/2019,3.1500,1,0.00,1.5120,3.1500
143,774,585,10/04/2019,02/05/2019,863.1280,8,0.30,-160.2952,107.5910
144,50,918,29/03/2019,17/04/2019,12.3900,3,0.00,5.8233,4.1300
145,333,76,22/05/2019,31/05/2019,90.8000,8,0.00,25.4240,11.3500
146,797,1363,28/02/2019,19/03/2019,25.1280,3,0.60,-6.9102,7.7760
147,471,1034,07/04/2019,24/04/2019,50.1200,7,0.20,-0.6265,6.9600
148,787,693,15/08/2019,25/08/2019,456.5880,2,0.70,-304.3920,227.5940
149,187,698,16/10/2019,29/10/2019,68.4720,3,0.20,23.1093,22.6240
150,155,1544,25/07/2019,16/08/2019,12.6240,2,0.20,-2.5248,6.1120
151,295,1334,01/02/2019,09/02/2019,14.2720,8,0.20,4.2816,1.5840
152,154,1804,22/08/2019,27/08/2019,5.9800,1,0.00,2.9302,5.9800
153,327,1366,21/12/2019,05/01/2020,133.3800,6,0.00,58.6872,22.2300
154,200,1574,22/04/2019,29/04/2019,166.5000,2,0.40,-66.6000,82.8500
155,142,136,08/08/2019,20/08/2019,16.4640,7,0.20,1.4406,2.1520
156,604,443,27/12/2019,30/12/2019,30.8000,4,0.00,10.1640,7.7000
157,360,931,05/01/2019,09/01/2019,87.3600,6,0.00,23.5872,14.5600
158,156,198,19/02/2019,04/03/2019,91.9900,1,0.00,3.6796,91.9900
159,241,976,07/04/2019,29/04/2019,80.8800,3,0.00,39.6312,26.9600
160,782,1826,06/09/2019,15/09/2019,7.8800,4,0.00,2.5216,1.9700
161,168,85,16/02/2019,17/03/2019,47.9760,3,0.20,8.3958,15.7920
162,565,979,03/01/2019,29/01/2019,29.8000,5,0.20,9.3125,5.7600
163,306,1613,12/12/2019,22/12/2019,12.6000,2,0.00,5.7960,6.3000
164,44,1063,18/06/2019,11/07/2019,843.9000,2,0.00,371.3160,421.9500
165,3,1197,22/07/2019,01/08/2019,359.9700,5,0.40,-71.9940,71.5940
166,58,481,12/04/2019,22/04/2019,132.2240,4,0.20,-18.1808,32.8560
167,28,155,08/02/2019,25/02/2019,13.8400,4,0.80,-22.1440,2.6600
168,682,1425,03/08/2019,15/08/2019,10.5600,2,0.00,4.7520,5.2800
169,498,109,05/05/2019,06/05/2019,121.5360,4,0.20,15.1920,30.1840
170,666,670,25/01/2019,06/02/2019,102.3680,2,0.20,37.1084,50.9840
171,631,1312,07/09/2019,21/09/2019,176.0400,4,0.00,45.7704,44.0100
172,700,162,02/01/2019,09/01/2019,179.9700,3,0.00,44.9925,59.9900
173,556,222,30/12/2019,26/01/2020,419.6800,5,0.60,-356.7280,83.3360
174,184,444,13/10/2019,31/10/2019,45.2400,4,0.70,-30.1600,10.6100
175,514,1031,27/03/2019,09/04/2019,79.3600,4,0.00,23.8080,19.8400
176,547,562,08/01/2019,22/01/2019,609.9800,4,0.30,-113.2820,152.1950
177,715,613,05/01/2019,23/01/2019,30.9600,2,0.20,10.0620,15.2800
178,749,42,22/06/2019,03/07/2019,124.6080,4,0.20,-23.3640,30.9520
179,587,992,30/05/2019,24/06/2019,18.2400,3,0.80,-31.0080,5.2800
180,418,21,20/10/2019,31/10/2019,17.0400,3,0.20,5.5380,5.4800
181,318,1647,10/07/2019,02/08/2019,35.4000,5,0.00,13.4520,7.0800
182,618,485,20/02/2019,12/03/2019,43.1300,1,0.00,14.6642,43.1300
183,170,816,06/03/2019,09/03/2019,136.9900,1,0.00,36.9873,136.9900
184,170,760,07/10/2019,05/11/2019,494.3760,3,0.20,49.4376,164.5920
185,176,610,10/11/2019,03/12/2019,13.8720,3,0.20,5.0286,4.4240
186,187,1019,21/09/2019,28/09/2019,11.6480,2,0.20,3.3488,5.6240
187,206,89,10/12/2019,09/01/2020,6.4800,1,0.00,3.1104,6.4800
188,111,753,10/02/2019,15/02/2019,1049.9700,5,0.40,-209.9940,209.5940
189,718,26,20/02/2019,22/02/2019,90.5700,3,0.00,11.7741,30.1900
190,636,29,07/11/2019,05/12/2019,289.8000,7,0.20,36.2250,41.2000
191,208,931,22/10/2019,29/10/2019,72.8000,5,0.00,19.6560,14.5600
192,324,531,26/02/2019,16/03/2019,34.7600,5,0.20,11.2970,6.7520
193,503,656,27/01/2019,02/02/2019,221.0560,8,0.20,77.3696,27.4320
194,648,754,24/05/2019,07/06/2019,17.4800,2,0.00,8.2156,8.7400
195,136,1236,12/05/2019,15/05/2019,129.8880,6,0.20,12.9888,21.4480
196,725,1012,10/03/2019,19/03/2019,67.0400,4,0.20,6.7040,16.5600
197,670,810,19/09/2019,15/10/2019,172.1860,2,0.30,-46.7362,85.7930
198,340,1228,31/07/2019,14/08/2019,795.5100,3,0.00,143.1918,265.1700
199,567,935,10/01/2019,16/01/2019,59.7000,3,0.00,26.8650,19.9000
200,48,818,27/10/2019,23/11/2019,559.6200,9,0.00,151.0974,62.1800
201,231,459,06/11/2019,11/11/2019,14.3520,3,0.20,4.4850,4.5840
202,449,1314,11/02/2019,24/02/2019,479.9840,2,0.20,59.9980,239.7920
203,146,794,18/05/2019,02/06/2019,196.4500,5,0.00,70.7220,39.2900
204,499,1026,09/09/2019,11/09/2019,1.5560,2,0.80,-4.2012,-0.0220
205,553,223,09/06/2019,12/06/2019,23.8800,3,0.00,10.5072,7.9600
206,717,1236,02/02/2019,21/02/2019,64.9440,3,0.20,6.4944,21.4480
207,780,92,04/02/2019,02/03/2019,32.9600,2,0.00,16.1504,16.4800
208,304,363,16/06/2019,29/06/2019,43.4400,8,0.00,21.2856,5.4300
209,99,700,13/05/2019,18/05/2019,8.1340,7,0.80,-13.8278,0.3620
210,455,751,11/12/2019,17/12/2019,27.2160,3,0.20,9.8658,8.8720
211,176,1550,23/07/2019,09/08/2019,47.3000,2,0.00,12.2980,23.6500
212,565,1496,22/06/2019,04/07/2019,24.9000,5,0.00,11.4540,4.9800
213,686,1724,30/06/2019,13/07/2019,123.0880,7,0.20,40.0036,17.3840
214,161,1145,22/08/2019,13/09/2019,34.7600,1,0.00,9.7328,34.7600
215,234,666,29/10/2019,03/11/2019,65.9900,1,0.00,17.1574,65.9900
216,430,908,17/04/2019,25/04/2019,107.9400,3,0.00,26.9850,35.9800
217,786,1277,12/07/2019,05/08/2019,10.3680,2,0.20,3.6288,4.9840
218,488,154,19/03/2019,23/03/2019,61.9600,2,0.00,30.3604,30.9800
219,533,284,30/11/2019,23/12/2019,11.3520,3,0.20,2.6961,3.5840
220,227,727,11/04/2019,26/04/2019,12.1920,3,0.20,4.1148,3.8640
221,555,402,21/12/2019,19/01/2020,30.4800,3,0.00,7.9248,10.1600
222,535,441,21/06/2019,27/06/2019,89.7120,6,0.20,30.2778,14.7520
223,655,575,22/12/2019,20/01/2020,917.9235,9,0.15,75.5937,101.8415
224,22,1836,11/06/2019,20/06/2019,6.3600,2,0.00,0.0636,3.1800
225,606,1022,05/10/2019,21/10/2019,123.9200,4,0.00,55.7640,30.9800
226,173,1317,30/08/2019,08/09/2019,29.9000,5,0.00,14.6510,5.9800
227,28,918,06/02/2019,18/02/2019,8.2600,2,0.00,3.8822,4.1300
228,799,790,13/09/2019,05/10/2019,58.4640,9,0.80,-146.1600,5.6960
229,183,34,23/04/2019,12/05/2019,9.9600,2,0.00,4.6812,4.9800
230,58,1466,25/06/2019,20/07/2019,41.9600,2,0.00,2.9372,20.9800
231,525,1283,21/09/2019,07/10/2019,14.0160,4,0.80,-31.5360,2.7040
232,497,1226,07/01/2019,24/01/2019,95.9700,5,0.70,-73.5770,18.4940
233,391,918,25/01/2019,21/02/2019,3.3040,1,0.20,1.1151,3.1040
234,9,1536,22/11/2019,07/12/2019,8.5950,5,0.70,-6.3030,1.0190
235,632,574,11/05/2019,03/06/2019,14.6200,2,0.00,6.8714,7.3100
236,701,1526,03/05/2019,02/06/2019,51.5600,2,0.60,-61.8720,25.1800
237,136,883,01/12/2019,15/12/2019,95.9520,3,0.20,29.9850,31.7840
238,514,1714,03/12/2019,31/12/2019,41.0400,6,0.00,11.0808,6.8400
239,493,1228,05/03/2019,11/03/2019,1325.8500,5,0.00,238.6530,265.1700
240,403,1191,05/05/2019,12/05/2019,97.3000,7,0.00,28.2170,13.9000
241,469,347,01/09/2019,05/09/2019,13.1200,5,0.20,2.1320,2.4240
242,583,1340,01/06/2019,17/06/2019,35.1680,4,0.20,11.4296,8.5920
243,638,1192,06/07/2019,24/07/2019,5.1040,1,0.20,1.6588,4.9040
244,202,116,04/03/2019,06/03/2019,210.3920,2,0.80,-336.6272,104.3960
245,42,1642,18/10/2019,16/11/2019,7.9200,1,0.20,2.7720,7.7200
246,521,799,04/11/2019,17/11/2019,16.3920,2,0.80,-26.2272,7.3960
247,121,698,18/10/2019,29/10/2019,77.0310,9,0.70,-59.0571,7.8590
248,453,1711,28/09/2019,18/10/2019,19.4400,3,0.00,9.3312,6.4800
249,470,484,21/02/2019,12/03/2019,2453.4300,5,0.30,-350.4900,490.3860
250,51,574,11/10/2019,20/10/2019,58.4800,8,0.00,27.4856,7.3100
251,403,769,01/10/2019,18/10/2019,717.1200,9,0.20,152.3880,79.4800
252,411,295,28/08/2019,01/09/2019,17.9000,5,0.00,8.9500,3.5800
253,334,364,18/08/2019,16/09/2019,251.0060,2,0.30,-68.1302,125.2030
254,653,70,08/04/2019,01/05/2019,30.4800,6,0.20,9.9060,4.8800
255,128,1373,28/07/2019,31/07/2019,24.6720,3,0.20,0.0000,8.0240
256,166,219,13/09/2019,15/09/2019,205.9920,1,0.20,-2.5749,205.7920
257,711,1839,18/02/2019,20/02/2019,8.0400,6,0.00,2.7336,1.3400
258,129,423,08/12/2019,18/12/2019,71.6000,8,0.00,32.9360,8.9500
259,105,116,02/08/2019,26/08/2019,157.7940,1,0.70,-115.7156,157.0940
260,7,900,03/04/2019,08/04/2019,575.9200,2,0.20,71.9900,287.7600
261,712,1610,24/06/2019,17/07/2019,43.1300,1,0.00,18.1146,43.1300
262,489,562,18/01/2019,02/02/2019,457.4850,3,0.30,-84.9615,152.1950
263,353,873,13/11/2019,18/11/2019,593.5680,2,0.20,0.0000,296.5840
264,353,1126,20/04/2019,19/05/2019,11.5400,2,0.00,3.4620,5.7700
265,509,1004,07/02/2019,17/02/2019,33.8700,3,0.00,8.8062,11.2900
266,783,1730,19/04/2019,21/04/2019,213.2160,3,0.20,15.9912,70.8720
267,544,286,05/06/2019,22/06/2019,38.0800,5,0.60,-29.5120,7.0160
268,78,1027,22/12/2019,29/12/2019,16.9100,1,0.00,4.5657,16.9100
269,376,1794,19/05/2019,11/06/2019,41.9100,3,0.00,10.8966,13.9700
270,654,55,23/06/2019,13/07/2019,173.8000,5,0.00,43.4500,34.7600
271,326,159,15/01/2019,01/02/2019,966.7000,5,0.30,-13.8100,193.0400
272,681,1546,18/03/2019,19/03/2019,13.4800,1,0.00,1.8872,13.4800
273,543,322,29/11/2019,14/12/2019,647.8400,8,0.00,168.4384,80.9800
274,589,47,09/08/2019,01/09/2019,30.0000,2,0.00,3.3000,15.0000
275,713,788,28/02/2019,08/03/2019,613.9992,3,0.32,-18.0588,204.3464
276,193,13,11/07/2019,04/08/2019,32.4000,5,0.00,15.5520,6.4800
277,783,645,17/06/2019,10/07/2019,12.9600,2,0.00,6.2208,6.4800
278,527,1404,06/04/2019,17/04/2019,227.3600,7,0.00,81.8496,32.4800
279,54,1041,08/04/2019,04/05/2019,34.1760,3,0.80,-87.1488,10.5920
280,18,1728,21/12/2019,23/12/2019,989.9700,3,0.00,395.9880,329.9900
281,781,1298,04/05/2019,08/05/2019,477.5100,11,0.00,219.6546,43.4100
282,666,174,29/11/2019,03/12/2019,302.3760,3,0.20,22.6782,100.5920
283,24,914,15/10/2019,25/10/2019,209.7000,2,0.00,100.6560,104.8500
284,566,1052,07/06/2019,21/06/2019,51.9800,2,0.00,15.0742,25.9900
285,794,1040,06/03/2019,13/03/2019,27.8880,7,0.20,10.1094,3.7840
286,726,892,17/11/2019,08/12/2019,1115.1700,7,0.00,334.5510,159.3100
287,129,871,17/01/2019,16/02/2019,431.9280,9,0.20,64.7892,47.7920
288,378,596,04/12/2019,13/12/2019,296.3700,3,0.00,80.0199,98.7900
289,558,1704,13/04/2019,01/05/2019,222.3200,7,0.20,25.0110,31.5600
290,578,611,20/09/2019,01/10/2019,34.4800,2,0.00,9.9992,17.2400
291,3,38,19/08/2019,26/08/2019,1043.9200,4,0.00,271.4192,260.9800
292,486,946,08/11/2019,23/11/2019,17.9400,3,0.00,8.6112,5.9800
293,233,962,21/06/2019,30/06/2019,124.0320,4,0.20,44.9616,30.8080
294,322,1288,02/05/2019,31/05/2019,113.9700,3,0.00,27.3528,37.9900
295,483,1199,31/05/2019,27/06/2019,351.2160,3,0.20,4.3902,116.8720
296,433,349,04/10/2019,01/11/2019,862.3440,7,0.20,97.0137,122.9920
297,737,11,25/08/2019,23/09/2019,355.4550,3,0.50,-184.8366,117.9850
298,403,308,14/09/2019,26/09/2019,2.6940,2,0.70,-2.2450,0.6470
299,749,1408,25/12/2019,13/01/2020,403.1680,4,0.20,25.1980,100.5920
300,22,184,06/03/2019,09/03/2019,7.4080,2,0.20,1.2038,3.5040
301,357,1241,07/05/2019,26/05/2019,14.7600,5,0.60,-11.4390,2.3520
302,285,663,21/04/2019,13/05/2019,603.9200,4,0.00,181.1760,150.9800
303,9,713,10/05/2019,19/05/2019,205.9992,3,0.32,-27.2646,68.3464
304,173,303,17/09/2019,06/10/2019,124.2000,3,0.40,-31.0500,41.0000
305,425,311,22/06/2019,25/06/2019,1.2400,1,0.00,0.5828,1.2400
306,488,471,28/04/2019,01/05/2019,783.9600,5,0.20,78.3960,156.5920
307,336,1814,09/07/2019,21/07/2019,40.7400,3,0.00,12.2220,13.5800
308,560,790,28/11/2019,02/12/2019,12.9920,2,0.80,-32.4800,5.6960
309,297,631,27/01/2019,01/02/2019,6.8480,2,0.20,2.1400,3.2240
310,226,875,18/05/2019,25/05/2019,3.2040,2,0.70,-2.4564,0.9020
311,540,774,07/03/2019,01/04/2019,887.2710,3,0.30,-63.3765,295.4570
312,697,361,28/02/2019,07/03/2019,10.9800,1,0.00,2.9646,10.9800
313,387,243,17/06/2019,13/07/2019,14.0160,3,0.20,4.7304,4.4720
314,259,1577,03/12/2019,24/12/2019,261.9600,2,0.00,23.5764,130.9800
315,664,1742,13/03/2019,21/03/2019,150.4080,9,0.20,-33.8418,16.5120
316,248,1517,03/12/2019,31/12/2019,120.9600,2,0.40,-28.2240,60.0800
317,699,36,13/04/2019,19/04/2019,572.7600,6,0.00,166.1004,95.4600
318,504,374,02/10/2019,08/10/2019,4.6600,2,0.00,1.3514,2.3300
319,214,545,30/07/2019,04/08/2019,15.4240,4,0.20,5.0128,3.6560
320,82,1672,05/12/2019,31/12/2019,7.9000,2,0.00,2.0540,3.9500
321,457,1399,24/01/2019,13/02/2019,22638.4800,6,0.50,-1811.0784,3772.5800
322,585,1379,07/10/2019,24/10/2019,21.5600,7,0.00,6.8992,3.0800
323,626,366,27/03/2019,31/03/2019,6.3000,2,0.00,3.0240,3.1500
324,39,1795,24/12/2019,05/01/2020,125.9440,7,0.20,15.7430,17.7920
325,571,658,31/07/2019,02/08/2019,239.9700,3,0.00,71.9910,79.9900
326,77,326,03/07/2019,19/07/2019,23.5600,5,0.20,7.0680,4.5120
327,222,597,24/10/2019,15/11/2019,64.9600,2,0.00,21.4368,32.4800
328,355,877,14/05/2019,15/05/2019,53.2000,5,0.00,14.8960,10.6400
329,696,1661,24/02/2019,15/03/2019,421.1000,2,0.00,105.2750,210.5500
330,666,1078,05/06/2019,02/07/2019,18.5280,6,0.80,-27.7920,2.2880
331,230,1825,20/04/2019,02/05/2019,122.9400,3,0.00,30.7350,40.9800
332,606,1720,29/12/2019,11/01/2020,24.1400,2,0.00,7.9662,12.0700
333,540,441,09/11/2019,24/11/2019,119.6160,8,0.20,40.3704,14.7520
